	distance	word_pos	sent_pos	sent_nr	subj_nr	token	resolved	rt_fp	spill_fp	inverse_distance	clean_token	reflexive	ana_category	multiple_drefs	word_length	num_prev_anas	target_skipped	spill_skipped
206	?	3	33	59	3	he	0	428	176	?	he	False	O	False	2	0	0	0
207	?	3	156	59	4	he	0	180	0	?	he	False	O	False	2	0	0	1
210	?	3	3	59	7	he	0	136	100	?	he	False	O	False	2	0	0	0
214	?	3	165	59	12	he	0	240	0	?	he	False	O	False	2	0	0	1
218	?	3	73	59	16	he	0	132	172	?	he	False	O	False	2	0	0	0
222	?	3	125	59	20	he	0	228	0	?	he	False	O	False	2	0	0	1
225	?	3	193	59	23	he	0	276	236	?	he	False	O	False	2	0	0	0
229	?	3	113	59	28	he	0	284	296	?	he	False	O	False	2	0	0	0
231	?	3	187	59	30	he	0	316	300	?	he	False	O	False	2	0	0	0
235	?	3	20	59	34	he	0	124	188	?	he	False	O	False	2	0	0	0
236	?	3	38	59	35	he	0	168	0	?	he	False	O	False	2	0	0	1
238	?	3	94	59	37	he	0	288	248	?	he	False	O	False	2	0	0	0
239	?	3	188	59	38	he	0	248	0	?	he	False	O	False	2	0	0	1
245	?	7	190	62	1	their	0	228	324	?	their	False	P	True	5	0	0	0
246	?	7	2	62	2	their	0	152	96	?	their	False	P	True	5	0	0	0
247	?	7	24	62	3	their	0	376	180	?	their	False	P	True	5	0	0	0
248	?	7	24	62	4	their	0	348	176	?	their	False	P	True	5	0	0	0
249	?	7	130	62	5	their	0	276	296	?	their	False	P	True	5	0	0	0
252	?	7	26	62	8	their	0	412	636	?	their	False	P	True	5	0	0	0
253	?	7	2	62	9	their	0	196	252	?	their	False	P	True	5	0	0	0
254	?	7	169	62	10	their	0	184	172	?	their	False	P	True	5	0	0	0
255	?	7	195	62	11	their	0	152	452	?	their	False	P	True	5	0	0	0
256	?	7	44	62	12	their	0	616	156	?	their	False	P	True	5	0	0	0
257	?	7	111	62	13	their	0	248	284	?	their	False	P	True	5	0	0	0
259	?	7	121	62	15	their	0	192	172	?	their	False	P	True	5	0	0	0
260	?	7	123	62	16	their	0	504	920	?	their	False	P	True	5	0	0	0
261	?	7	14	62	17	their	0	252	240	?	their	False	P	True	5	0	0	0
262	?	7	105	62	18	their	0	184	308	?	their	False	P	True	5	0	0	0
263	?	7	99	62	19	their	0	160	212	?	their	False	P	True	5	0	0	0
264	?	7	52	62	20	their	0	296	148	?	their	False	P	True	5	0	0	0
265	?	7	77	62	21	their	0	124	196	?	their	False	P	True	5	0	0	0
266	?	7	91	62	22	their	0	240	432	?	their	False	P	True	5	0	0	0
267	?	7	65	62	23	their	0	248	408	?	their	False	P	True	5	0	0	0
268	?	7	155	62	24	their	0	260	108	?	their	False	P	True	5	0	0	0
269	?	7	25	62	25	their	0	216	264	?	their	False	P	True	5	0	0	0
270	?	7	162	62	27	their	0	388	228	?	their	False	P	True	5	0	0	0
271	?	7	119	62	28	their	0	472	436	?	their	False	P	True	5	0	0	0
272	?	7	182	62	29	their	0	144	216	?	their	False	P	True	5	0	0	0
273	?	7	13	62	30	their	0	244	584	?	their	False	P	True	5	0	0	0
274	?	7	175	62	31	their	0	144	0	?	their	False	P	True	5	0	0	1
275	?	7	51	62	32	their	0	256	288	?	their	False	P	True	5	0	0	0
276	?	7	159	62	33	their	0	188	252	?	their	False	P	True	5	0	0	0
277	?	7	124	62	34	their	0	296	0	?	their	False	P	True	5	0	0	1
278	?	7	148	62	35	their	0	152	264	?	their	False	P	True	5	0	0	0
279	?	7	92	62	36	their	0	192	200	?	their	False	P	True	5	0	0	0
280	?	7	115	62	37	their	0	100	340	?	their	False	P	True	5	0	0	0
281	?	7	159	62	38	their	0	316	0	?	their	False	P	True	5	0	0	1
283	?	7	164	62	40	their	0	204	148	?	their	False	P	True	5	0	0	0
284	?	7	12	62	41	their	0	352	420	?	their	False	P	True	5	0	0	0
285	?	7	24	62	42	their	0	212	156	?	their	False	P	True	5	0	0	0
286	?	7	196	62	43	their	0	196	396	?	their	False	P	True	5	0	0	0
288	?	5	85	63	2	she	0	128	176	?	she	False	O	False	3	1	0	0
289	?	5	85	63	3	she	0	316	340	?	she	False	O	False	3	1	0	0
290	?	5	47	63	4	she	0	164	168	?	she	False	O	False	3	1	0	0
291	?	5	117	63	5	she	0	368	0	?	she	False	O	False	3	1	0	1
294	?	5	16	63	8	she	0	380	196	?	she	False	O	False	3	1	0	0
295	?	5	22	63	10	she	0	192	76	?	she	False	O	False	3	1	0	0
296	?	5	32	63	11	she	0	120	136	?	she	False	O	False	3	1	0	0
298	?	5	105	63	13	she	0	268	172	?	she	False	O	False	3	1	0	0
300	?	5	158	63	15	she	0	156	340	?	she	False	O	False	3	1	0	0
301	?	5	99	63	16	she	0	188	360	?	she	False	O	False	3	1	0	0
302	?	5	111	63	17	she	0	152	200	?	she	False	O	False	3	1	0	0
304	?	5	103	63	19	she	0	172	0	?	she	False	O	False	3	1	0	1
305	?	5	97	63	20	she	0	76	0	?	she	False	O	False	3	1	0	1
306	?	5	107	63	21	she	0	40	148	?	she	False	O	False	3	1	0	0
307	?	5	69	63	22	she	0	180	164	?	she	False	O	False	3	1	0	0
308	?	5	2	63	23	she	0	280	260	?	she	False	O	False	3	1	0	0
309	?	5	118	63	24	she	0	212	168	?	she	False	O	False	3	1	0	0
310	?	5	106	63	25	she	0	136	124	?	she	False	O	False	3	1	0	0
311	?	5	149	63	27	she	0	416	0	?	she	False	O	False	3	1	0	1
312	?	5	97	63	28	she	0	200	204	?	she	False	O	False	3	1	0	0
313	?	5	35	63	29	she	0	220	220	?	she	False	O	False	3	1	0	0
314	?	5	135	63	30	she	0	632	284	?	she	False	O	False	3	1	0	0
316	?	5	77	63	32	she	0	152	128	?	she	False	O	False	3	1	0	0
317	?	5	160	63	33	she	0	188	132	?	she	False	O	False	3	1	0	0
318	?	5	126	63	34	she	0	184	0	?	she	False	O	False	3	1	0	1
320	?	5	122	63	36	she	0	180	0	?	she	False	O	False	3	1	0	1
325	?	5	124	63	41	she	0	292	188	?	she	False	O	False	3	1	0	0
327	?	5	135	63	43	she	0	220	176	?	she	False	O	False	3	1	0	0
328	?	2	181	69	1	us	0	172	172	?	us	False	O	False	2	0	0	0
331	?	2	4	69	4	us	0	396	160	?	us	False	O	False	2	0	0	0
337	?	2	46	69	11	us	0	176	148	?	us	False	O	False	2	0	0	0
340	?	2	141	69	14	us	0	240	220	?	us	False	O	False	2	0	0	0
342	?	2	32	69	16	us	0	192	356	?	us	False	O	False	2	0	0	0
343	?	2	139	69	17	us	0	132	136	?	us	False	O	False	2	0	0	0
344	?	2	66	69	18	us	0	332	144	?	us	False	O	False	2	0	0	0
347	?	2	68	69	21	us	0	176	276	?	us	False	O	False	2	0	0	0
349	?	2	139	69	23	us	0	152	168	?	us	False	O	False	2	0	0	0
350	?	2	33	69	24	us	0	136	0	?	us	False	O	False	2	0	0	1
352	?	2	159	69	27	us	0	252	0	?	us	False	O	False	2	0	0	1
355	?	2	7	69	30	us	0	28	196	?	us	False	O	False	2	0	0	0
357	?	2	47	69	32	us	0	52	200	?	us	False	O	False	2	0	0	0
358	?	2	176	69	33	us	0	140	204	?	us	False	O	False	2	0	0	0
362	?	2	95	69	37	us	0	216	136	?	us	False	O	False	2	0	0	0
363	?	2	185	69	38	us	0	324	116	?	us	False	O	False	2	0	0	0
367	?	2	92	69	42	us	0	260	152	?	us	False	O	False	2	0	0	0
368	?	2	198	69	43	us	0	112	176	?	us	False	O	False	2	0	0	0
370	?	7	119	75	2	his	0	204	0	?	his	False	P	False	3	1	0	1
371	?	7	153	75	3	his	0	144	0	?	his	False	P	False	3	1	0	1
372	?	7	130	75	4	his	0	184	312	?	his	False	P	False	3	1	0	0
373	?	7	48	75	5	his	0	216	0	?	his	False	P	False	3	1	0	1
374	?	7	165	75	6	his	0	352	0	?	his	False	P	False	3	1	0	1
375	?	7	154	75	7	his	0	236	320	?	his	False	P	False	3	1	0	0
376	?	7	175	75	8	his	0	704	0	?	his	False	P	False	3	1	0	1
377	?	7	126	75	10	his	0	612	784	?	his	False	P	False	3	1	0	0
378	?	7	85	75	11	his	0	340	0	?	his	False	P	False	3	1	0	1
379	?	7	58	75	12	his	0	500	0	?	his	False	P	False	3	1	0	1
380	?	7	69	75	13	his	0	272	0	?	his	False	P	False	3	1	0	1
381	?	7	30	75	14	his	0	296	0	?	his	False	P	False	3	1	0	1
382	?	7	89	75	15	his	0	136	0	?	his	False	P	False	3	1	0	1
383	?	7	63	75	16	his	0	716	0	?	his	False	P	False	3	1	0	1
384	?	7	159	75	17	his	0	860	0	?	his	False	P	False	3	1	0	1
385	?	7	176	75	18	his	0	376	0	?	his	False	P	False	3	1	0	1
386	?	7	162	75	19	his	0	272	0	?	his	False	P	False	3	1	0	1
389	?	7	105	75	22	his	0	340	0	?	his	False	P	False	3	1	0	1
390	?	7	187	75	23	his	0	356	568	?	his	False	P	False	3	1	0	0
391	?	7	190	75	24	his	0	348	0	?	his	False	P	False	3	1	0	1
392	?	7	120	75	25	his	0	364	384	?	his	False	P	False	3	1	0	0
393	?	7	1	75	27	his	0	436	0	?	his	False	P	False	3	1	0	1
394	?	7	148	75	28	his	0	324	380	?	his	False	P	False	3	1	0	0
395	?	7	171	75	29	his	0	276	148	?	his	False	P	False	3	1	0	0
396	?	7	14	75	30	his	0	324	0	?	his	False	P	False	3	1	0	1
398	?	7	9	75	32	his	0	436	148	?	his	False	P	False	3	1	0	0
399	?	7	120	75	33	his	0	204	200	?	his	False	P	False	3	1	0	0
400	?	7	37	75	34	his	0	316	0	?	his	False	P	False	3	1	0	1
401	?	7	59	75	35	his	0	188	204	?	his	False	P	False	3	1	0	0
403	?	7	122	75	37	his	0	176	144	?	his	False	P	False	3	1	0	0
404	?	7	10	75	38	his	0	360	164	?	his	False	P	False	3	1	0	0
405	?	7	23	75	39	his	0	244	0	?	his	False	P	False	3	1	0	1
407	?	7	57	75	41	his	0	244	152	?	his	False	P	False	3	1	0	0
408	?	7	168	75	42	his	0	588	0	?	his	False	P	False	3	1	0	1
409	?	7	186	75	43	his	0	264	336	?	his	False	P	False	3	1	0	0
410	?	2	112	84	1	him	0	420	112	?	him	False	O	False	3	0	0	0
413	?	2	81	84	4	him	0	352	236	?	him	False	O	False	3	0	0	0
416	?	2	40	84	7	him	0	372	88	?	him	False	O	False	3	0	0	0
417	?	2	50	84	8	him	0	252	136	?	him	False	O	False	3	0	0	0
418	?	2	55	84	10	him	0	268	132	?	him	False	O	False	3	0	0	0
419	?	2	205	84	11	him	0	312	0	?	him	False	O	False	3	0	0	1
421	?	2	32	84	13	him	0	272	156	?	him	False	O	False	3	0	0	0
423	?	2	162	84	15	him	0	176	0	?	him	False	O	False	3	0	0	1
424	?	2	134	84	16	him	0	176	188	?	him	False	O	False	3	0	0	0
425	?	2	165	84	17	him	0	220	0	?	him	False	O	False	3	0	0	1
427	?	2	133	84	19	him	0	236	224	?	him	False	O	False	3	0	0	0
430	?	2	145	84	22	him	0	480	152	?	him	False	O	False	3	0	0	0
431	?	2	14	84	23	him	0	476	208	?	him	False	O	False	3	0	0	0
432	?	2	98	84	24	him	0	248	264	?	him	False	O	False	3	0	0	0
435	?	2	151	84	28	him	0	312	188	?	him	False	O	False	3	0	0	0
437	?	2	18	84	30	him	0	296	84	?	him	False	O	False	3	0	0	0
438	?	2	140	84	31	him	0	260	144	?	him	False	O	False	3	0	0	0
439	?	2	146	84	32	him	0	184	200	?	him	False	O	False	3	0	0	0
440	?	2	175	84	33	him	0	180	136	?	him	False	O	False	3	0	0	0
442	?	2	161	84	35	him	0	144	176	?	him	False	O	False	3	0	0	0
443	?	2	102	84	36	him	0	272	248	?	him	False	O	False	3	0	0	0
444	?	2	55	84	37	him	0	248	128	?	him	False	O	False	3	0	0	0
445	?	2	99	84	38	him	0	216	0	?	him	False	O	False	3	0	0	1
451	?	4	126	92	1	she	0	160	168	?	she	False	O	False	3	1	0	0
452	?	4	38	92	2	she	0	148	156	?	she	False	O	False	3	1	0	0
453	?	4	62	92	3	she	0	220	204	?	she	False	O	False	3	1	0	0
454	?	4	21	92	4	she	0	200	140	?	she	False	O	False	3	1	0	0
456	?	4	35	92	6	she	0	292	0	?	she	False	O	False	3	1	0	1
458	?	4	11	92	8	she	0	220	268	?	she	False	O	False	3	1	0	0
459	?	4	156	92	10	she	0	144	0	?	she	False	O	False	3	1	0	1
460	?	4	193	92	11	she	0	168	0	?	she	False	O	False	3	1	0	1
462	?	4	50	92	13	she	0	228	0	?	she	False	O	False	3	1	0	1
465	?	4	146	92	16	she	0	248	220	?	she	False	O	False	3	1	0	0
468	?	4	58	92	19	she	0	192	228	?	she	False	O	False	3	1	0	0
470	?	4	65	92	21	she	0	160	152	?	she	False	O	False	3	1	0	0
473	?	4	106	92	24	she	0	184	212	?	she	False	O	False	3	1	0	0
476	?	4	104	92	28	she	0	224	232	?	she	False	O	False	3	1	0	0
478	?	4	9	92	30	she	0	108	436	?	she	False	O	False	3	1	0	0
480	?	4	201	92	32	she	0	176	152	?	she	False	O	False	3	1	0	0
481	?	4	23	92	33	she	0	196	176	?	she	False	O	False	3	1	0	0
482	?	4	136	92	34	she	0	240	0	?	she	False	O	False	3	1	0	1
483	?	4	170	92	35	she	0	200	172	?	she	False	O	False	3	1	0	0
484	?	4	40	92	36	she	0	232	0	?	she	False	O	False	3	1	0	1
485	?	4	25	92	37	she	0	252	156	?	she	False	O	False	3	1	0	0
489	?	4	18	92	41	she	0	248	0	?	she	False	O	False	3	1	0	1
490	?	4	111	92	42	she	0	300	0	?	she	False	O	False	3	1	0	1
493	?	5	104	107	2	him	0	156	164	?	him	False	O	False	3	1	0	0
494	?	5	94	107	3	him	0	140	208	?	him	False	O	False	3	1	0	0
495	?	5	6	107	4	him	0	148	204	?	him	False	O	False	3	1	0	0
496	?	5	172	107	5	him	0	176	156	?	him	False	O	False	3	1	0	0
497	?	5	123	107	6	him	0	152	208	?	him	False	O	False	3	1	0	0
498	?	5	115	107	7	him	0	120	184	?	him	False	O	False	3	1	0	0
499	?	5	71	107	8	him	0	148	116	?	him	False	O	False	3	1	0	0
501	?	5	154	107	11	him	0	140	124	?	him	False	O	False	3	1	0	0
504	?	5	193	107	14	him	0	292	208	?	him	False	O	False	3	1	0	0
506	?	5	189	107	16	him	0	156	156	?	him	False	O	False	3	1	0	0
509	?	5	120	107	19	him	0	196	176	?	him	False	O	False	3	1	0	0
510	?	5	151	107	20	him	0	172	136	?	him	False	O	False	3	1	0	0
513	?	5	128	107	23	him	0	168	528	?	him	False	O	False	3	1	0	0
516	?	5	17	107	27	him	0	344	120	?	him	False	O	False	3	1	0	0
518	?	5	151	107	29	him	0	448	144	?	him	False	O	False	3	1	0	0
519	?	5	142	107	30	him	0	260	156	?	him	False	O	False	3	1	0	0
521	?	5	104	107	32	him	0	164	196	?	him	False	O	False	3	1	0	0
522	?	5	96	107	33	him	0	212	188	?	him	False	O	False	3	1	0	0
524	?	5	116	107	35	him	0	144	196	?	him	False	O	False	3	1	0	0
526	?	5	52	107	37	him	0	132	160	?	him	False	O	False	3	1	0	0
527	?	5	12	107	38	him	0	152	72	?	him	False	O	False	3	1	0	0
528	?	5	54	107	39	him	0	396	144	?	him	False	O	False	3	1	0	0
533	?	4	77	109	1	her	0	208	168	?	her	False	O	False	3	0	0	0
534	?	4	72	109	2	her	0	208	256	?	her	False	O	False	3	0	0	0
535	?	4	160	109	3	her	0	212	168	?	her	False	O	False	3	0	0	0
536	?	4	147	109	4	her	0	252	160	?	her	False	O	False	3	0	0	0
540	?	4	129	109	8	her	0	144	92	?	her	False	O	False	3	0	0	0
541	?	4	163	109	10	her	0	180	128	?	her	False	O	False	3	0	0	0
543	?	4	2	109	12	her	0	180	240	?	her	False	O	False	3	0	0	0
544	?	4	133	109	13	her	0	180	196	?	her	False	O	False	3	0	0	0
547	?	4	87	109	16	her	0	140	92	?	her	False	O	False	3	0	0	0
550	?	4	178	109	19	her	0	188	156	?	her	False	O	False	3	0	0	0
551	?	4	4	109	20	her	0	132	0	?	her	False	O	False	3	0	0	1
552	?	4	62	109	21	her	0	144	148	?	her	False	O	False	3	0	0	0
553	?	4	180	109	22	her	0	172	200	?	her	False	O	False	3	0	0	0
555	?	4	15	109	24	her	0	172	276	?	her	False	O	False	3	0	0	0
557	?	4	175	109	27	her	0	500	156	?	her	False	O	False	3	0	0	0
558	?	4	183	109	28	her	0	360	248	?	her	False	O	False	3	0	0	0
560	?	4	145	109	30	her	0	320	264	?	her	False	O	False	3	0	0	0
562	?	4	86	109	32	her	0	272	180	?	her	False	O	False	3	0	0	0
563	?	4	140	109	33	her	0	72	372	?	her	False	O	False	3	0	0	0
564	?	4	47	109	34	her	0	208	416	?	her	False	O	False	3	0	0	0
565	?	4	104	109	35	her	0	136	0	?	her	False	O	False	3	0	0	1
566	?	4	159	109	36	her	0	164	156	?	her	False	O	False	3	0	0	0
567	?	4	203	109	37	her	0	220	52	?	her	False	O	False	3	0	0	0
568	?	4	24	109	38	her	0	200	0	?	her	False	O	False	3	0	0	1
569	?	4	185	109	39	her	0	128	0	?	her	False	O	False	3	0	0	1
571	?	4	179	109	41	her	0	128	112	?	her	False	O	False	3	0	0	0
573	?	4	107	109	43	her	0	196	88	?	her	False	O	False	3	0	0	0
574	?	4	166	110	1	him	0	244	248	?	him	False	O	False	3	0	0	0
575	?	4	162	110	2	him	0	148	0	?	him	False	O	False	3	0	0	1
576	?	4	49	110	3	him	0	152	164	?	him	False	O	False	3	0	0	0
577	?	4	60	110	4	him	0	160	0	?	him	False	O	False	3	0	0	1
579	?	4	99	110	6	him	0	152	140	?	him	False	O	False	3	0	0	0
